id,location,date,new_cases,new_deaths,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,female_smokers,male_smokers,gdp_per_capita,handwashing_facilities,hospital_beds_per_thousand
0,Afghanistan,2019-12-31,0,0,,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
1,Afghanistan,2020-01-01,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
2,Afghanistan,2020-01-02,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
3,Afghanistan,2020-01-03,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
4,Afghanistan,2020-01-04,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
5,Afghanistan,2020-01-05,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
6,Afghanistan,2020-01-06,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
7,Afghanistan,2020-01-07,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
8,Afghanistan,2020-01-08,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
9,Afghanistan,2020-01-09,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
10,Afghanistan,2020-01-10,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
11,Afghanistan,2020-01-11,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
12,Afghanistan,2020-01-12,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
13,Afghanistan,2020-01-13,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
14,Afghanistan,2020-01-14,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
15,Afghanistan,2020-01-15,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
16,Afghanistan,2020-01-16,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
17,Afghanistan,2020-01-17,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
18,Afghanistan,2020-01-18,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
19,Afghanistan,2020-01-19,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
20,Afghanistan,2020-01-20,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
21,Afghanistan,2020-01-21,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
22,Afghanistan,2020-01-22,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
23,Afghanistan,2020-01-23,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
24,Afghanistan,2020-01-24,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
25,Afghanistan,2020-01-25,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
26,Afghanistan,2020-01-26,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
27,Afghanistan,2020-01-27,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
28,Afghanistan,2020-01-28,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
29,Afghanistan,2020-01-29,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
30,Afghanistan,2020-01-30,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
31,Afghanistan,2020-01-31,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
32,Afghanistan,2020-02-01,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
33,Afghanistan,2020-02-02,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
34,Afghanistan,2020-02-03,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
35,Afghanistan,2020-02-04,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
36,Afghanistan,2020-02-05,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
37,Afghanistan,2020-02-06,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
38,Afghanistan,2020-02-07,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
39,Afghanistan,2020-02-08,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
40,Afghanistan,2020-02-09,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
41,Afghanistan,2020-02-10,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
42,Afghanistan,2020-02-11,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
43,Afghanistan,2020-02-12,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
44,Afghanistan,2020-02-13,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
45,Afghanistan,2020-02-14,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
46,Afghanistan,2020-02-15,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
47,Afghanistan,2020-02-16,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
48,Afghanistan,2020-02-17,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
49,Afghanistan,2020-02-18,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
50,Afghanistan,2020-02-19,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
51,Afghanistan,2020-02-20,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
52,Afghanistan,2020-02-21,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
53,Afghanistan,2020-02-22,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
54,Afghanistan,2020-02-23,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
55,Afghanistan,2020-02-24,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
56,Afghanistan,2020-02-25,1,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
57,Afghanistan,2020-02-26,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
58,Afghanistan,2020-02-27,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
59,Afghanistan,2020-02-28,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
60,Afghanistan,2020-02-29,0,0,0,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
61,Afghanistan,2020-03-01,0,0,19.44,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
62,Afghanistan,2020-03-02,0,0,22.22,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
63,Afghanistan,2020-03-08,3,0,22.22,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
64,Afghanistan,2020-03-11,3,0,22.22,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
65,Afghanistan,2020-03-15,3,0,33.33,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
66,Afghanistan,2020-03-16,6,0,33.33,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
67,Afghanistan,2020-03-17,5,0,33.33,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
68,Afghanistan,2020-03-18,1,0,36.11,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
69,Afghanistan,2020-03-19,0,0,36.11,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
70,Afghanistan,2020-03-20,0,0,36.11,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
71,Afghanistan,2020-03-21,2,0,36.11,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
72,Afghanistan,2020-03-22,0,0,36.11,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
73,Afghanistan,2020-03-23,10,0,36.11,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
74,Afghanistan,2020-03-24,6,1,45.37,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
